epoch4g step in cur epoch 8losstf.Tensor(0.46934047, shape=(), dtype=float32)
epoch4g step in cur epoch 9losstf.Tensor(0.476598, shape=(), dtype=float32)
epoch4g step in cur epoch 10losstf.Tensor(0.47348192, shape=(), dtype=float32)
epoch4g step in cur epoch 11losstf.Tensor(0.4866662, shape=(), dtype=float32)
epoch4g step in cur epoch 12losstf.Tensor(0.4851048, shape=(), dtype=float32)
epoch4g step in cur epoch 13losstf.Tensor(0.5955101, shape=(), dtype=float32)
epoch4g step in cur epoch 14losstf.Tensor(0.51499176, shape=(), dtype=float32)
epoch4g step in cur epoch 15losstf.Tensor(0.61290145, shape=(), dtype=float32)
epoch4g step in cur epoch 16losstf.Tensor(0.41126472, shape=(), dtype=float32)
epoch4g step in cur epoch 17losstf.Tensor(0.49249923, shape=(), dtype=float32)
epoch4g step in cur epoch 18losstf.Tensor(0.40870658, shape=(), dtype=float32)
epoch4g step in cur epoch 19losstf.Tensor(0.5544256, shape=(), dtype=float32)
epoch4g step in cur epoch 20losstf.Tensor(0.39477822, shape=(), dtype=float32)
epoch4g step in cur epoch 21losstf.Tensor(0.51111114, shape=(), dtype=float32)
epoch4g step in cur epoch 22losstf.Tensor(0.4181947, shape=(), dtype=float32)
epoch4g step in cur epoch 23losstf.Tensor(0.5648574, shape=(), dtype=float32)
epoch4g step in cur epoch 24losstf.Tensor(0.37860447, shape=(), dtype=float32)
avg loss=tf.Tensor(0.4935747, shape=(), dtype=float32)
epoch5g step in cur epoch 0losstf.Tensor(0.6139181, shape=(), dtype=float32)
epoch5g step in cur epoch 1losstf.Tensor(0.62815464, shape=(), dtype=float32)
epoch5g step in cur epoch 2losstf.Tensor(0.54387933, shape=(), dtype=float32)
epoch5g step in cur epoch 3losstf.Tensor(0.45213485, shape=(), dtype=float32)
epoch5g step in cur epoch 4losstf.Tensor(0.49459904, shape=(), dtype=float32)
epoch5g step in cur epoch 5losstf.Tensor(0.49165726, shape=(), dtype=float32)
epoch5g step in cur epoch 6losstf.Tensor(1.0946668, shape=(), dtype=float32)
epoch5g step in cur epoch 7losstf.Tensor(0.9955994, shape=(), dtype=float32)
epoch5g step in cur epoch 8losstf.Tensor(1.0814219, shape=(), dtype=float32)
epoch5g step in cur epoch 9losstf.Tensor(1.0185983, shape=(), dtype=float32)
epoch5g step in cur epoch 10losstf.Tensor(1.07359, shape=(), dtype=float32)
epoch5g step in cur epoch 11losstf.Tensor(0.9543725, shape=(), dtype=float32)
epoch5g step in cur epoch 12losstf.Tensor(1.0585045, shape=(), dtype=float32)
epoch5g step in cur epoch 13losstf.Tensor(1.1973162, shape=(), dtype=float32)
epoch5g step in cur epoch 14losstf.Tensor(0.8257517, shape=(), dtype=float32)
epoch5g step in cur epoch 15losstf.Tensor(0.9524689, shape=(), dtype=float32)
epoch5g step in cur epoch 16losstf.Tensor(0.97671187, shape=(), dtype=float32)
epoch5g step in cur epoch 17losstf.Tensor(1.2026509, shape=(), dtype=float32)
epoch5g step in cur epoch 18losstf.Tensor(0.9546225, shape=(), dtype=float32)
epoch5g step in cur epoch 19losstf.Tensor(0.9035542, shape=(), dtype=float32)
epoch5g step in cur epoch 20losstf.Tensor(0.8597046, shape=(), dtype=float32)
epoch5g step in cur epoch 21losstf.Tensor(1.0962542, shape=(), dtype=float32)
epoch5g step in cur epoch 22losstf.Tensor(1.0392809, shape=(), dtype=float32)
epoch5g step in cur epoch 23losstf.Tensor(0.95273244, shape=(), dtype=float32)
epoch5g step in cur epoch 24losstf.Tensor(1.077004, shape=(), dtype=float32)
avg loss=tf.Tensor(0.901566, shape=(), dtype=float32)
epoch6g step in cur epoch 0losstf.Tensor(0.4185576, shape=(), dtype=float32)
epoch6g step in cur epoch 1losstf.Tensor(0.51484364, shape=(), dtype=float32)
epoch6g step in cur epoch 2losstf.Tensor(0.3835265, shape=(), dtype=float32)
epoch6g step in cur epoch 3losstf.Tensor(0.40637302, shape=(), dtype=float32)
epoch6g step in cur epoch 4losstf.Tensor(0.38930228, shape=(), dtype=float32)
epoch6g step in cur epoch 5losstf.Tensor(0.42657387, shape=(), dtype=float32)
epoch6g step in cur epoch 6losstf.Tensor(0.45085973, shape=(), dtype=float32)
epoch6g step in cur epoch 7losstf.Tensor(0.6799946, shape=(), dtype=float32)
epoch6g step in cur epoch 8losstf.Tensor(0.4881742, shape=(), dtype=float32)
epoch6g step in cur epoch 9losstf.Tensor(0.5948293, shape=(), dtype=float32)
epoch6g step in cur epoch 10losstf.Tensor(0.38026848, shape=(), dtype=float32)
epoch6g step in cur epoch 11losstf.Tensor(0.44233373, shape=(), dtype=float32)
